ID,x_cen,y_cen,Cluster
1366,631,277,0
1367,39,248,3
1368,941,258,6
1369,205,312,4
1370,1277,287,5
1371,1682,243,2
1372,355,322,1
1373,630,277,0
1374,941,258,6
1375,39,248,3
1376,205,313,4
1377,1277,287,5
1378,1683,242,2
1379,358,322,1
1380,631,278,0
1381,941,258,6
1382,39,249,3
1383,206,313,4
1384,1277,287,5
1385,1682,243,2
1386,366,322,1
1387,941,259,6
1388,632,278,0
1389,205,313,4
1390,39,248,3
1391,1277,287,5
1392,363,322,1
1393,630,278,0
1394,1683,243,2
1395,941,258,6
1396,39,249,3
1397,205,313,4
1398,1277,287,5
1399,1683,243,2
1400,367,322,1
1401,631,277,0
1402,942,259,6
1403,205,312,4
1404,38,248,3
1405,1277,287,5
1406,1683,243,2
1407,364,322,1
1408,631,278,0
1409,941,259,6
1410,39,249,3
1411,205,313,4
1412,1277,287,5
1413,1683,243,2
1414,368,322,1
1415,632,278,0
1416,941,259,6
1417,205,314,4
1418,60,243,3
1419,1277,288,5
1420,1683,243,2
1421,367,323,1
1422,631,278,0
1423,942,259,6
1424,204,312,4
1425,1277,288,5
1426,1683,243,2
1427,367,322,1
1428,941,259,6
1429,632,278,0
1430,204,313,4
1431,1276,287,5
1432,1683,243,2
1433,368,323,1
1434,941,259,6
1435,632,279,0
1436,204,314,4
1437,1275,288,5
1438,1682,243,2
1439,369,322,1
1440,941,259,6
1441,632,278,0
1442,205,314,4
1443,1277,288,5
1444,1683,243,2
1445,368,323,1
1446,632,278,0
1447,942,259,6
1448,156,342,4
1449,205,314,4
1450,1277,287,5
1451,1683,243,2
1452,366,323,1
1453,632,278,0
1454,941,259,6
1455,207,315,4
1456,1277,287,5
1457,1683,243,2
1458,369,323,1
1459,630,278,0
1460,942,259,6
1461,204,312,4
1462,1277,287,5
1463,1683,243,2
1464,362,322,1
1465,630,278,0
1466,941,258,6
1467,204,313,4
1468,1276,287,5
1469,1683,243,2
1470,366,322,1
1471,942,259,6
1472,632,277,0
1473,203,313,4
1474,1277,287,5
1475,1683,243,2
1476,368,322,1
1477,204,315,4
1478,630,277,0
1479,941,258,6
1480,31,249,3
1481,1277,287,5
1482,1683,243,2
1483,366,322,1
1484,630,278,0
1485,39,249,3
1486,941,259,6
1487,204,313,4
1488,1276,287,5
1489,367,322,1
1490,1683,243,2
1491,630,278,0
1492,941,258,6
1493,38,248,3
1494,205,313,4
1495,1276,288,5
1496,1682,243,2
1497,366,322,1
1498,631,279,0
1499,942,259,6
1500,204,313,4
1501,38,248,3
1502,1276,288,5
1503,1682,244,2
1504,364,323,1
1505,630,280,0
1506,941,260,6
1507,204,313,4
1508,39,253,3
1509,1276,288,5
1510,1683,244,2
1511,369,324,1
1512,630,279,0
1513,942,260,6
1514,204,314,4
1515,37,250,3
1516,1276,288,5
1517,1682,244,2
1518,368,324,1
1519,633,279,0
1520,204,313,4
1521,941,259,6
1522,37,249,3
1523,1277,288,5
1524,1683,243,2
1525,367,323,1
1526,632,279,0
1527,204,314,4
1528,38,249,3
1529,941,259,6
1530,1277,287,5
1531,361,323,1
1532,1683,243,2
1533,630,278,0
1534,941,259,6
1535,204,313,4
1536,38,249,3
1537,1277,287,5
1538,1684,243,2
1539,365,322,1
1540,631,278,0
1541,942,258,6
1542,39,250,3
1543,205,314,4
1544,1277,288,5
1545,1683,243,2
1546,367,324,1
1547,632,279,0
1548,941,259,6
1549,205,313,4
1550,39,249,3
1551,1277,288,5
1552,1682,243,2
1553,368,324,1
1554,631,279,0
1555,941,259,6
1556,205,314,4
1557,38,249,3
1558,1277,287,5
1559,368,323,1
1560,1684,243,2
1561,633,278,0
1562,942,259,6
1563,205,313,4
1564,39,251,3
1565,1278,287,5
1566,1684,243,2
1567,368,323,1
1568,631,278,0
1569,39,250,3
1570,942,259,6
1571,205,314,4
1572,1277,288,5
1573,1683,243,2
1574,368,323,1
1575,631,279,0
1576,205,314,4
1577,942,259,6
1578,39,250,3
1579,1277,288,5
1580,1684,243,2
1581,368,323,1
1582,942,259,6
1583,631,279,0
1584,39,248,3
1585,205,314,4
1586,1277,287,5
1587,367,323,1
1588,1684,243,2
1589,632,278,0
1590,942,259,6
1591,39,249,3
1592,204,314,4
1593,1276,287,5
1594,1684,243,2
1595,364,323,1
1596,633,278,0
1597,942,259,6
1598,205,313,4
1599,38,248,3
1600,1277,287,5
